conacct,p_L,p_H1,p_H2,p_H3,size,SHH_G,CONTROLS_house_1,CONTROLS_house_2,CONTROLS_low_skill,CONTROLS_hhemp2,CONTROLS_hhemp3,CONTROLS_age2,CONTROLS_age3,CONTROLS_INC,CONTROLS_barangay_id
17128,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,1,0,0,1,10000,3901129
17176,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,0,1,0,1,0,0,1,10000,3901129
17144,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,1,0,0,0,0,10000,3901129
21693,0,15.3257546954685,31.5552897276702,41.1401774794967,8,1,1,0,0,1,0,1,0,10000,3901184
22249,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,1,0,0,0,10000,3901192
22248,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,0,0,0,0,1,0,10000,3901192
22393,0,15.3257546954685,31.5552897276702,41.1401774794967,7,1,1,0,0,1,0,0,1,10000,3901195
22385,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,1,1,0,1,0,10000,3901195
22447,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,1,0,0,0,0,10000,3901196
22459,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,1,0,10000,3901197
22490,0,15.3257546954685,31.5552897276702,41.1401774794967,3,1,0,1,0,0,0,0,1,10000,3901197
24352,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,1,0,1,0,10000,3901216
24603,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,1,0,0,0,0,10000,3901218
24582,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,1,0,0,1,0,1,0,10000,3901218
24581,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,1,0,0,1,0,1,0,10000,3901218
24578,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,0,1,0,0,0,0,10000,3901218
24606,0,15.3257546954685,31.5552897276702,41.1401774794967,6,1,0,1,0,0,0,0,0,10000,3901218
25117,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,1,0,1,0,10000,3901227
25509,0,15.3257546954685,31.5552897276702,41.1401774794967,5,1,0,1,0,0,0,1,0,10000,3901232
29882,0,15.3257546954685,31.5552897276702,41.1401774794967,4,1,0,1,1,0,0,0,1,10000,3904008
30548,0,15.3257546954685,31.5552897276702,41.1401774794967,2,1,1,0,0,0,0,1,0,10000,3904016
